spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1695,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 30 May 1921","Box: 1; Folder: 1921, May","Binder XLI, page 163",30 May 1921,exact,Ernest Alexandrovich Oeberg,not_stated,3 Rue de Moscou,Paris,,"3 Rue de Moscou, Paris",Sergey Sergeevich Prokofiev,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",original,letter,handwritten,Russian,,13.55052936,52.56720438
1698,"Boris de Schloezer to Sergey Sergeevich Prokofiev, [01 June 1921]","Box: 1; Folder: 1921, June","Binder XLI, page 33",01 June 1921,implied,Boris de Schloezer,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,telegram,handwritten,French,,-2.1652,47.2484
1711,"Clerical assistant to Sergey Sergeevich Prokofiev, 23 June 1921","Box: 1; Folder: 1921, June","Binder XLI, page 179",23 June 1921,exact,Clerical assistant,Haensel & Jones,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,11 Great Marlborough Street,London,,"11 Great Marlborough Street, London",original,letter,handwritten,Russian,,-0.1372937362,51.51487472
1721,"Balmont to Sergey Sergeevich Prokofiev, [07 July 1921]","Box: 1; Folder: 1921, July","Binder XLI, page 34",07 July 1921,implied,Balmont,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,telegram,handwritten,French,,-2.1652,47.2484
1723,"Boris de Schloezer to Sergey Sergeevich Prokofiev,","Box: 1; Folder: 1921, July","Binder XLI, page 34",,exact,Boris de Schloezer,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,telegram,handwritten,French,,-2.1652,47.2484
1725,"Vera Janacopulos Staal to Sergey Sergeevich Prokofiev, 15 July 1921","Box: 1; Folder: 1921, July","Binder II, page 3",15 July 1921,exact,Vera Janacopulos Staal,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,Villa Cytises,St. Brévin-les-Pins,,"Villa Cytises, St. Brévin-les-Pins",original,letter,handwritten,Russian,,-2.160455787,47.22324694
1726,"Boris de Schloezer to Sergey Sergeevich Prokofiev, 19 July 1921","Box: 1; Folder: 1921, July","Binder II, page 5",19 July 1921,exact,Boris de Schloezer,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,telegram,handwritten,Russian,No last name identified.,-2.1652,47.2484
1739,"Ruth Martin to Sergey Sergeevich Prokofiev,","Box: 1; Folder: 1921, July","Binder II, page 9 and 17 and 16",,exact,Ruth Martin,not_stated,3987 Goldfinch Street,San Diego,,"3987 Goldfinch Street, San Diego",Sergey Sergeevich Prokofiev,not_stated,c/o Haensel & Jones,New York,,"c/o Haensel & Jones, New York",original,letter,handwritten,English,"See II/17 and II/16 ID for continuation of this letter from Ruth Martin, addressed in draft from SP as 'Mrs Martin'.",-74.002464,40.7320335
1745,"Horace Parmelee to Sergey Sergeevich Prokofiev, 08 August 1921","Box: 1; Folder: 1921, August","Binder II, page 60",08 August 1921,exact,Horace Parmelee,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,typed,English,"Verso side contains Prokofiev's response to Horace Parmlee, August 26 1926",-2.1652,47.2484
1747,"Horace Parmelee to Sergey Sergeevich Prokofiev, 09 August 1921","Box: 1; Folder: 1921, August","Binder II, page 26",09 August 1921,exact,Horace Parmelee,not_stated,113 West 57th Street,New York,,"113 West 57th Street, New York",Sergey Sergeevich Prokofiev,not_stated,Villa Cytises,St. Brévin-les-Pins,,"Villa Cytises, St. Brévin-les-Pins",original,letter,typed,English,,-2.160455787,47.22324694
