spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
1997,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 23 July 1922","Box: 1; Folder: 1922, July","Binder III, page 215",23 July 1922,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Bad Kissingen,,Bad Kissingen,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,13,,10.0752800000031,50.2040000001124
1999,"not_stated to Sergey Sergeevich Prokofiev, 24 July 1922","Box: 1; Folder: 1922, July","Binder III, page 219",24 July 1922,exact,not_stated,not_stated,not_stated,Mannheim,,Mannheim,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,German,Printed letter-head: 'Der Intendant des Nationaltheaters Mannheim'.,14,,8.46678000037126,49.4865100000677
2005,"Mr. Henry to Sergey Sergeevich Prokofiev, 04 August 1922","Box: 1; Folder: 1922, August","Binder III, page 229",04 August 1922,exact,Mr Henry,not_stated,86 Rue de la Montagne,Brussels,,"86 Rue de la Montagne, Brussels",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,15,,4.35702567846554,50.8477797640289
2007,"not_stated to Sergey Sergeevich Prokofiev, 04 August 1922","Box: 1; Folder: 1922, August","Binder III, page 230",04 August 1922,exact,not_stated,not_stated,13 Rue Bréderode,Brussels,,"13 Rue Bréderode, Brussels",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,16,,4.3609136858299,50.8405245619612
2009,"Henrietta Paskar to Sergey Sergeevich Prokofiev, [09 August 1922]","Box: 1; Folder: 1922, August","Binder III, page 232",09 August 1922,implied,Henrietta Paskar,not_stated,49 Moorgate,London,,"49 Moorgate, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,At end of letter (in Russian): 'For Paskor-Libdeman'. Arcos was the Russian State Trade Organisation.,17,,-0.0891111127917542,51.5164794930264
2011,"Vladimir Nikolaevich Tsederbaum to Sergey Sergeevich Prokofiev, 12 August 1922","Box: 1; Folder: 1922, August","Binder III, page 236",12 August 1922,exact,Vladimir Nikolaevich Tsederbaum,not_stated,Villa Hubertus,Bad Münster am Stein,,"Villa Hubertus, Bad Münster am Stein",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,18,,8.41571000032464,51.0771400002731
2014,"Vladimir Nikolaevich Tsederbaum to Sergey Sergeevich Prokofiev, 17 August 1922","Box: 1; Folder: 1922, August","Binder III, page 240",17 August 1922,exact,Vladimir Nikolaevich Tsederbaum,not_stated,Villa Hubertus,Bad Münster am Stein,,"Villa Hubertus, Bad Münster am Stein",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,19,,8.41571000032464,51.0771400002731
2015,"Albert Coates to Sergey Sergeevich Prokofiev, 18 August 1922","Box: 1; Folder: 1922, August","Binder III, page 242",18 August 1922,exact,Albert Coates,not_stated,not_stated,Eastbourne,,Eastbourne,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,20,,0.285380000156448,50.7669099998015
2017,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 21 August 1922","Box: 1; Folder: 1922, August","Binder III, page 244",21 August 1922,exact,Ephraim Gottlieb,not_stated,"39 South La Salle Street, Suite 418-24",Chicago,,"39 South La Salle Street, Suite 418-24, Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,21,,-87.6323466033089,41.8808608636857
2019,"Ibbs and Tillett to Sergey Sergeevich Prokofiev, 22 August 1922","Box: 1; Folder: 1922, August","Binder III, page 248",22 August 1922,exact,Ibbs and Tillett,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,22,,-0.144297259945522,51.5138061702429
