spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
2821,"Clerical assistant to Sergey Sergeevich Prokofiev, 04 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 206",04 September 1924,exact,Clerical assistant,La Revue Musicale,35 Rue Madame,Paris,,"35 Rue Madame, Paris",Sergey Sergeevich Prokofiev,not_stated,Villa Béthanie,St. Gilles-sur-Vie,,"Villa Béthanie, St. Gilles-sur-Vie",original,letter,typed,French,,575,,2.33175035252393,48.8492512283073
2825,"Alexander Vasilievich Gauk to Sergey Sergeevich Prokofiev, 06 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 212",06 September 1924,exact,Alexander Vasilievich Gauk,not_stated,"7 Chernyshev pereulok, kv. 31",Leningrad,,"7 Chernyshev pereulok, kv. 31, Leningrad",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,576,,30.2641700001701,59.8944400000652
2833,"Alexander Andreevich Zagorsky to Sergey Sergeevich Prokofiev, 10 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 225",10 September 1924,exact,Alexander Andreevich Zagorsky,not_stated,45 Rue de la Tour,Paris,,"45 Rue de la Tour, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,577,,2.28093310066902,48.8601867889665
2834,"Joseph Szigeti to Sergey Sergeevich Prokofiev, 10 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 227",10 September 1924,exact,Joseph Szigeti,not_stated,not_stated,St. Gilles-sur-Vie,,St. Gilles-sur-Vie,Sergey Sergeevich Prokofiev,not_stated,5 Rue Charles Dickens,Paris,,"5 Rue Charles Dickens, Paris",original,postcard,handwritten,French,"Re-addressed to 'Villa Béthanie, St. Gilles-sur-Vie, France'.",578,,6.17102000022361,45.6586300000427
2835,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 11 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 229",11 September 1924,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,See also Via/244,579,,2.34143999979337,48.8572100000963
2839,"Meri Bran to Sergey Sergeevich Prokofiev, 12 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 237",12 September 1924,exact,Meri Bran,not_stated,118 Schillerstrasse,Berlin,,"118 Schillerstrasse, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,typed,Russian,See also VI/ 236.,580,,13.4013132207944,52.4019187931684
2840,"Felix Delgrange to Sergey Sergeevich Prokofiev, 13 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 238",13 September 1924,exact,Félix Delgrange,not_stated,23 Rue du Rocher,Paris,,"23 Rue du Rocher, Paris",Sergey Sergeevich Prokofiev,not_stated,Villa Béthanie,St. Gilles-sur-Vie,,"Villa Béthanie, St. Gilles-sur-Vie",original,letter,typed,French,,581,,2.3220199334187,48.8765406739213
3089,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 26 January 1925","Box: 1; Folder: 1925, January","Binder VII, page 71",26 January 1925,exact,Ephraim Gottlieb,not_stated,"39 South La Salle Street, Suite 418-24",Chicago,,"39 South La Salle Street, Suite 418-24, Chicago",Sergey Sergeevich Prokofiev,not_stated,54 route des Gardes,"Bellevue, Meudon",France,"54 route des Gardes, Bellevue",original,letter,typed,Russian,,582,,-87.6323466033089,41.8808608636857
2467,"not_stated to Sergey Sergeevich Prokofiev, [13 December 1923]","Box: 1; Folder: 1923, December","Binder IV, page 427",13 December 1923,implied,not_stated,not_stated,35 Rue Madame,Paris,,"35 Rue Madame, Paris",Sergey Sergeevich Prokofiev,not_stated,c/o American Express,Paris,,"c/o American Express, Paris",original,postcard,handwritten,French,Signature illegible. Ptinted address as stated. Handwritten address: '87 [?] St Michel'.,583,,2.33175035252393,48.8492512283073
2468,"Grzegorz Fitelberg to Sergey Sergeevich Prokofiev, 13 December 1923","Box: 1; Folder: 1923, December","Binder IV, page 431",13 December 1923,exact,Grzegorz Fitelberg,not_stated,Zlota 16,Warsaw,,"16 Zlota, Warsaw",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,584,,20.9992859133816,52.2302933616972
2470,"Clerical assistant to Sergey Sergeevich Prokofiev, 13 December 1923","Box: 1; Folder: 1923, December","Binder IV, page 429",13 December 1923,exact,Clerical assistant,P. Jurgenson-Rob. Forberg,Talstrasse 19,Leipzig,,"Talstrasse 19, Leipzig",Sergey Sergeevich Prokofiev,not_stated,c/o American Express,Paris,,"c/o American Express, Paris",original,letter,typed,German,,585,,12.3862047317532,51.3347263587934
2471,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 19 December 1923","Box: 1; Folder: 1924, December","Binder IV, page 436",19 December 1923,exact,Ephraim Gottlieb,not_stated,not_stated,New York,,New York,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,English,"Note paper headed 'Nomis Dress Co., Inc. Manufacturers of Dresses, 12 east 33rd Street, New York'. Handwritten note: 'Write to Chicago'.",586,,-74.0071400003009,40.7145500001758
2472,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 22 December 1923","Box: 1; Folder: 1923, December","Binder IV, page 438",22 December 1923,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,587,,2.34143999979337,48.8572100000963
3091,"Iv. Iv. Narodnyi to Sergey Sergeevich Prokofiev, 28 January 1925",not_stated,"Binder VIII, page 231",28 January 1925,exact,Iv. Iv. Narodnyi,not_stated,152 East 40th Street,New York,,"152 East 40th Street, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,588,,-73.9401364482109,40.65205245414
3265,"Ilia Lapina to Sergey Sergeevich Prokofiev, 02 May 1925","Box: 1; Folder: 1925, May","Binder VIII, page 4",02 May 1925,exact,Ilia Lapina,not_stated,75-77 Rue Denfert-Rochereau,Paris,,"75-77 Rue Denfert-Rochereau, Paris",Sergey Sergeevich Prokofiev,not_stated,54 route des Gardes,"Bellevue, Meudon",France,"54 route des Gardes, Bellevue",original,letter,typed,French,,589,,2.33422086777728,48.8359599571427
2866,"Boris Nikolaevich Bashkirov to Sergey Sergeevich Prokofiev, 23 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 288",23 September 1924,exact,Boris Nikolaevich Bashkirov,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Gilles-sur-Vie,,St. Gilles-sur-Vie,original,telegram,handwritten,Russian,,590,,2.34143999979337,48.8572100000963
2474,"Lucien Chevaillier to Sergey Sergeevich Prokofiev, December 1923","Box: 1; Folder: 1923, December","Binder IV, page 433",December 1923,exact,Lucien Chevaillier,not_stated,12 Rue Schweighaeuser,Strasbourg,,"12 Rue Schweighaeuser, Strasbourg",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,,591,,7.76480597998055,48.5866891996755
3096,"Iosif Vladimirovich Gessen to Sergey Sergeevich Prokofiev, 31 January 1925","Box: 1; Folder: 1925, January","Binder VII, page 80",31 January 1925,exact,Iosif Vladimirovich Gessen,not_stated,22-26 Kochstrasse,Berlin,,"22-26 Kochstrasse, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,Russian,,592,,13.3889358564157,52.5066544638816
3266,"Iosif Vladimirovich Gessen to Sergey Sergeevich Prokofiev, 02 May 1925","Box: 1; Folder: 1925, May","Binder VIII, page 5",02 May 1925,exact,Iosif Vladimirovich Gessen,not_stated,Kochstrasse 22 - 26,Berlin,,"Kochstrasse 22 - 26, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,Russian,,593,,13.3897641444302,52.5067045010494
2869,"Vladimir Nikolaevich Bashkirov to Sergey Sergeevich Prokofiev, 24 September 1924","Box: 1; Folder: 1924, September","Binder Via, page 301",24 September 1924,exact,Vladimir Nikolaevich Bashkirov,not_stated,Woolworth Building,New York,,"Woolworth Building, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,594,,-74.0077900221388,40.7124100691007
2480,"Moiseii Davidovich Shereshevsky to Sergey Sergeevich Prokofiev, 02 January 1924","Box: 1; Folder: 1924, January","Binder V, page 7",02 January 1924,exact,Moiseii Davidovich Shereshevsky,not_stated,Izvestkovaia Ul. 6,Riga,,"Izvestkovaia Ul. 6, Riga",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,595,,34.4685500001573,54.3743499997843
2484,"Nikolai Titovich Kucheriavy to Sergey Sergeevich Prokofiev, 04 January 1924","Box: 1; Folder: 1924, January","Binder V, page 20",04 January 1924,exact,Nikolai Titovich Kucheriavy,not_stated,not_stated,Riga,,Riga,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,596,,24.1148699995869,56.9459799998622
2485,"Vladimir Nikolaevich Bashkirov to Sergey Sergeevich Prokofiev, 05 January 1924","Box: 1; Folder: 1924, January","Binder V, page 22",05 January 1924,exact,Vladimir Nikolaevich Bashkirov,not_stated,Woolworth Building,New York,,"Woolworth Building, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,597,,-74.0077900221388,40.7124100691007
2487,"Moiseii Davidovich Shereshevsky to Sergey Sergeevich Prokofiev, 08 January 1924","Box: 1; Folder: 1924, January","Binder V, page 6",08 January 1924,exact,Moiseii Davidovich Shereshevsky,not_stated,Izvestkovaia Ul. 6,Riga,,"Izvestkovaia Ul. 6, Riga",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,598,,34.4685500001573,54.3743499997843
2488,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 09 January 1924","Box: 1; Folder: 1924, January","Binder V, page 25",09 January 1924,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,599,,2.34143999979337,48.8572100000963
2490,"Paul Demasy to Sergey Sergeevich Prokofiev, 14 January 1924","Box: 1; Folder: 1924, January","Binder V, page 3",14 January 1924,exact,Paul Demasy,not_stated,28 Rue du Printemps,Paris,,"28 Rue du Printemps, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,,600,,2.31019527368823,48.8876554224138
2491,"Nina Pavlovna Koshetz to Sergey Sergeevich Prokofiev, 14 January 1924","Box: 1; Folder: 1924, January","Binder V, page 42",14 January 1924,exact,Nina Pavlovna Koshetz,not_stated,not_stated,New York,,New York,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Originator: Nina Koshetz?,601,,-74.0071400003009,40.7145500001758
2492,"Sonia Brichant to Sergey Sergeevich Prokofiev, 19 January 1924","Box: 1; Folder: 1924, January","Binder V, page 31",19 January 1924,exact,Sonia Brichant,not_stated,not_stated,Liège,,Liège,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,602,,5.57249999959111,50.6455000001532
2494,"Joseph Holbrooke to Sergey Sergeevich Prokofiev, 23 January 1924","Box: 1; Folder: 1924, January","Binder V, page 33",23 January 1924,exact,Joseph Holbrooke,not_stated,Tufnell Park,London,,"Tufnell Park, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,"Full address: 'The Vale, Tufnell Park'.",603,,-0.13692806795449,51.5569709355283
2499,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 25 January 1924","Box: 1; Folder: 1924, January","Binder V, page 48",25 January 1924,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,letter,typed,English,,604,,-73.9824091191193,40.7541649548309
2505,"Grzegorz Fitelberg to Sergey Sergeevich Prokofiev, 28 January 1924","Box: 1; Folder: 1924, January","Binder V, page 57",28 January 1924,exact,Grzegorz Fitelberg,not_stated,Zlota 16,not_stated,,"Zlota 16,",Sergey Sergeevich Prokofiev,not_stated,3 Villa Patrice Boudard,Paris,,"3 Villa Patrice Boudard, Paris",original,postcard,handwritten,Russian,"Postcrad postmarked 'Poland'. Recipient's address given as 3 Villa Patrice Boudard, Paris XVI (?).",605,,20.5917799997564,50.3804199998456
2507,"Moiseii Davidovich Shereshevsky to Sergey Sergeevich Prokofiev, 30 January 1924","Box: 1; Folder: 1924, January","Binder V, page 91",30 January 1924,exact,Moiseii Davidovich Shereshevsky,not_stated,Izvestkovaia Ul. 6,Riga,,"Izvestkovaia Ul. 6, Riga",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Probably incorrectly dated; correct date 'January 30',606,,34.4685500001573,54.3743499997843
2508,"Clerical assistant to Sergey Sergeevich Prokofiev, 31 January 1924","Box: 1; Folder: 1924, January","Binder V, page 56 c",31 January 1924,exact,Clerical assistant,not_stated,10 Rue Chaptal,Paris,,"10 Rue Chaptal, Paris",Sergey Sergeevich Prokofiev,not_stated,c/o American Express,Paris,,"c/o American Express, Paris",original,letter,typed,French,,607,,2.33382477900895,48.8807201942497
2513,"Herman Schaad to Sergey Sergeevich Prokofiev, 04 February 1924","Box: 1; Folder: 1924, February","Binder V, page 63",04 February 1924,exact,Herman Schaad,not_stated,29 West 42nd Street,New York,,"29 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,3 Villa Patrice Boudard,Paris,,"3 Villa Patrice Boudard, Paris",original,letter,typed,English,,608,,-73.9824181193401,40.7541639803698
2514,"Herman Schaad to Sergey Sergeevich Prokofiev, 07 February 1924","Box: 1; Folder: 1924, February","Binder V, page 64",07 February 1924,exact,Herman Schaad,not_stated,29 West 42nd Street,New York,,"29 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,3 Villa Patrice Boudard,Paris,,"3 Villa Patrice Boudard, Paris",original,letter,typed,English,,609,,-73.9824181193401,40.7541639803698
2516,"E. Belousov to Sergey Sergeevich Prokofiev, 10 February 1924","Box: 1; Folder: 1924, February","Binder V, page 83",10 February 1924,exact,E. Belousov,not_stated,not_stated,El Paso,,El Paso,Sergey Sergeevich Prokofiev,not_stated,c/o American Express,Paris,,"c/o American Express, Paris",original,postcard,handwritten,Russian,,610,,-106.487490000415,31.7591600003335
2519,"Clerical assistant to Sergey Sergeevich Prokofiev, 15 February 1924","Box: 1; Folder: 1924, February","Binder V, page 69",15 February 1924,exact,Clerical assistant,Union Mutuelle Musicale,not_stated,Geneva,,Geneva,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,handwritten,French,,611,,6.14275000026606,46.2083299997675
2522,"Elena Balmont to Sergey Sergeevich Prokofiev, 19 February 1924","Box: 1; Folder: 1924, February","Binder V, page 71",19 February 1924,exact,Elena Balmont,not_stated,2 Rue Belloni,Paris,,"2 Rue Belloni, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,612,,2.28285988544385,48.8611842223459
2523,"Moiseii Davidovich Shereshevsky to Sergey Sergeevich Prokofiev, 20 February 1924","Box: 1; Folder: 1924, February","Binder V, page 75",20 February 1924,exact,Moiseii Davidovich Shereshevsky,not_stated,not_stated,Riga,,Riga,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,Russian,,613,,24.1148699995869,56.9459799998622
2525,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 23 February 1924","Box: 1; Folder: 1924, February","Binder V, page 79",23 February 1924,exact,Ephraim Gottlieb,not_stated,"39 South La Salle Street, Suite 418-24",Chicago,,"39 South La Salle Street, Suite 418-24, Chicago",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,614,,-87.6323466033089,41.8808608636857
2527,"B. Curran to Sergey Sergeevich Prokofiev, 25 February 1924","Box: 1; Folder: 1924, February","Binder V, page 88",25 February 1924,exact,B. Curran,not_stated,3715 Woolworth Building,New York,,"3715 Woolworth Building, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,"Full address: '3715 Woolworth Building, New York City'.",615,,-74.0077900221388,40.7124100691007
2529,"Dmitrii Sergeevich Merezhkovsky to Sergey Sergeevich Prokofiev, [25 February 1924]","Box: 1; Folder: 1924, February","Binder V, page 73",25 February 1924,implied,Dmitrii Sergeevich Merezhkovsky,not_stated,11 bis Avenue du Colonel Bonnet,Paris,,"11 bis Avenue du Colonel Bonnet, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Date: 'Sunday'. (in Russian).,616,,2.27833771060806,48.8553356161049
2530,"R. Gruber to Sergey Sergeevich Prokofiev, 24 February 1924","Box: 1; Folder: 1924, February","Binder V, page 85",24 February 1924,exact,R. Gruber,not_stated,not_stated,Leningrad,,Leningrad,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,"P.S. dated 2 March, added to letter from wife Nat[alia] Nik[olaevna].",617,,30.2641700001701,59.8944400000652
2534,"Leona Spitzer to Sergey Sergeevich Prokofiev, 05 March 1924","Box: 1; Folder: 1924, March","Binder V, page 93",05 March 1924,exact,Leona Spitzer,not_stated,not_stated,San Jose,,San Jose,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,618,,-121.885419999782,37.3386499998534
2535,"Léon Vallas to Sergey Sergeevich Prokofiev, 05 March 1924","Box: 1; Folder: 1924, March","Binder V, page 94",05 March 1924,exact,Léon Vallas,not_stated,16 Place Bellecour,Lyon,,"16 Place Bellecour, Lyon",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,,619,,4.83400718657002,45.7575518769954
2537,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, 08 March 1924","Box: 1; Folder: 1924, March","Binder IV, page 89",08 March 1924,exact,José Raoul Capablanca,not_stated,not_stated,Havana,,Havana,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,Dated by Capablance as '08.03.1924'.,620,,-82.3674899998199,23.1321100003351
2539,"Clerical assistant to Sergey Sergeevich Prokofiev, 11 March 1924","Box: 1; Folder: 1924, March","Binder V, page 101",11 March 1924,exact,Clerical assistant,Union Mutuelle Musicale,not_stated,Geneva,,Geneva,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,handwritten,French,,621,,6.14275000026606,46.2083299997675
2540,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 13 March 1924","Box: 1; Folder: 1924, March","Binder V, page 103",13 March 1924,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,"Norepaper headed: 'Club Anglais, 3 bis Chaussée d'Antin, Paris'.",622,,2.34143999979337,48.8572100000963
2541,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 14 March 1924","Box: 1; Folder: 1924, March","Binder V, page 99",14 March 1924,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,5 Rue Charles Dickens,Paris,,"5 Rue Charles Dickens, Paris",original,letter,handwritten,Russian,,623,,2.34143999979337,48.8572100000963
2542,"A. Timulin to Sergey Sergeevich Prokofiev, 14 March 1924","Box: 1; Folder: 1924, March","Binder V, page 106",14 March 1924,exact,A. Timulin,not_stated,Vonvermanstr. 8,Amsterdam,,"Vonvermanstr. 8, Amsterdam",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Full address: Vonvermanstr. 8',624,,4.84130250021379,52.3688129997469
2544,"Clerical assistant to Sergey Sergeevich Prokofiev, 14 March 1924","Box: 1; Folder: 1924, March","Binder V, page 108",14 March 1924,exact,Clerical assistant,not_stated,"Langham Place, Music Library Door 15",London,,"Langham Place, Music Library Door 15, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,Full address: 'MUSIC LIBRARY Door 15'.,625,,-0.0977334572990909,51.5904919907726
2545,"Alexander Kirillovich Borovsky to Sergey Sergeevich Prokofiev, 14 March 1924","Box: 1; Folder: 1924, March","Binder V, page 109",14 March 1924,exact,Alexander Kirillovich Borovsky,not_stated,not_stated,Madrid,,Madrid,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Full address: 'Coche - Cinas- Coruna - Madrid'.,626,,-3.70577000002705,40.4202799997654
2549,"Madeleine Grey to Sergey Sergeevich Prokofiev, 20 March 1924","Box: 1; Folder: 1924, March","Binder V, page 115",20 March 1924,exact,Madeleine Grey,not_stated,48 Rue des Martyrs,Paris,,"48 Rue des Martyrs, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,,627,,2.34009178575709,48.8794803840497
2550,"Clerical assistant to Sergey Sergeevich Prokofiev, 20 March 1924","Box: 1; Folder: 1924, March","Binder V, page 116",20 March 1924,exact,Clerical assistant,L'Argus de la Presse,37 Rue Bergère,Paris,,"37 Rue Bergère, Paris",Sergey Sergeevich Prokofiev,not_stated,34-33 Rue des Saints Pères,Paris,,"34-33 Rue des Saints Pères, Paris",original,letter,typed,French,,628,,2.34341376106765,48.8726046568314
2551,"Herman Schaad to Sergey Sergeevich Prokofiev, 24 March 1924","Box: 1; Folder: 1924, March","Binder V, page 117",24 March 1924,exact,Herman Schaad,not_stated,29 West 42nd Street,New York,,"29 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,5 Rue Charles Dickens,Paris,,"5 Rue Charles Dickens, Paris",original,letter,typed,English,,629,,-73.9824181193401,40.7541639803698
2553,"Clerical assistant to Sergey Sergeevich Prokofiev, 24 March 1924","Box: 1; Folder: 1924, March","Binder V, page 119",24 March 1924,exact,Clerical assistant,Union Mutuelle Musicale,not_stated,Geneva,,Geneva,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,handwritten,French,,630,,6.14275000026606,46.2083299997675
2556,"Mariia Viktorovna Borovskaya to Sergey Sergeevich Prokofiev, 27 March 1924","Box: 1; Folder: 1924, March","Binder V, page 122",27 March 1924,exact,Mariia Viktorovna Borovskaya,not_stated,3 Villa Patrice Boudard,Paris,,"3 Villa Patrice Boudard, Paris",Sergey Sergeevich Prokofiev,not_stated,5 Rue Charles Dickens,Paris,,"5 Rue Charles Dickens, Paris",original,letter,handwritten,Russian,Letter not transcribed. The signature may be 'Fru-Fru' i.e. wife of Borovsky.,631,,2.27323489262034,48.8511016868556
2558,"Pierre Petrovich Souvchinsky to Sergey Sergeevich Prokofiev, 30 March 1924","Box: 1; Folder: 1924, March","Binder V, page 127",30 March 1924,exact,Pierre Petrovich Souvchinsky,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,draft,Russian,,632,,13.3769100001127,52.5160400001679
3102,"Georgii Bremer to Sergey Sergeevich Prokofiev, 01 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 86",01 February 1925,exact,Georgii Bremer,not_stated,Kurfürstendamm 200,Berlin,,"Kurfürstendamm 200, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,633,,13.3204903367165,52.5016546673658
3108,"Oskar von Riesemann to Sergey Sergeevich Prokofiev, 04 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 91",04 February 1925,exact,Oskar von Riesemann,not_stated,Villa Schäfer,St. Quirin a/ Tegernsee,,"Villa Schäfer, St. Quirin a/ Tegernsee",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Address on letter: St. Quirin a/Tegernsee,634,,11.7567900003283,47.70858000001
3110,"Geru Naumovich Levin to Sergey Sergeevich Prokofiev, 05 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 93",05 February 1925,exact,Geru Naumovich Levin,not_stated,Pfalzburgerstrasse 57,Berlin,,"Pfalzburgerstrasse 57, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,"Full form of address: Berlin - Wilmersdorf, Pfalzburgerstr. 57 II bei Reinhardt.",635,,13.3216514083229,52.4921894635927
3113,"Ilia Lapina to Sergey Sergeevich Prokofiev, 06 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 99",06 February 1925,exact,Ilia Lapina,not_stated,75-77 Rue Denfert-Rochereau,Paris,,"75-77 Rue Denfert-Rochereau, Paris",Sergey Sergeevich Prokofiev,not_stated,54 route des Gardes,"Bellevue, Meudon",France,"54 route des Gardes, Bellevue",original,letter,typed,French,,636,,2.33422086777728,48.8359599571427
3115,"Lev Vasilievich Zack to Sergey Sergeevich Prokofiev, 08 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 104",08 February 1925,exact,Lev Vasilievich Zack,not_stated,45 Quai de la Tournelle,Paris,,"45 Quai de la Tournelle, Paris",Sergey Sergeevich Prokofiev,not_stated,54 route des Gardes,"Bellevue, Meudon",France,"54 route des Gardes, Bellevue",original,letter,handwritten,Russian,,637,,2.35239814010918,48.8507350976361
3116,"Igor Iastrebtsev to Sergey Sergeevich Prokofiev, 08 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 106",08 February 1925,exact,Igor Iastrebtsev,not_stated,8 Rue d'Orléans,Neuilly-sur-Seine,,"8 Rue d'Orléans, Neuilly-sur-Seine",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,638,,2.2723892895788,48.8812843436756
3117,"Iosif Vladimirovich Gessen to Sergey Sergeevich Prokofiev, 11 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 107",11 February 1925,exact,Iosif Vladimirovich Gessen,not_stated,Kochstrasse 22 - 26,Berlin,,"Kochstrasse 22 - 26, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,Russian,,639,,13.3897641444302,52.5067045010494
3118,"Boris Georgievich Romanov to Sergey Sergeevich Prokofiev, 11 February 1925","Box: 1; Folder: 1925, February","Binder VII, page 108",11 February 1925,exact,Boris Georgievich Romanov,not_stated,not_stated,Darmstadt,,Darmstadt,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,640,,8.65013000003935,49.8726399999088
