SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1554,"Sergey Sergeevich Prokofiev to Boris Nikolaevich Samoilenko, 16 October 1919",not_stated,"Binder XLII, page 14",16 October 1919,exact,Sergey Sergeevich Prokofiev,not_stated,940 Park Avenue,New York,,"940 Park Avenue, New York",Boris Nikolaevich Samoilenko,not_stated,not_stated,Lakewood,,Lakewood,photocopy,letter,handwritten,Russian,,-73.95966843,40.77711201
1559,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 10 December 1919",not_stated,"Binder XLI, page 29",10 December 1919,exact,Sergey Sergeevich Prokofiev,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-73.98240912,40.75416495
1560,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 26 December 1919",not_stated,"Binder XLII, page 18",26 December 1919,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,,New York,Fatma Samoilenko,not_stated,53 West 46,New York,,"53 West 46, New York",photocopy,postcard,handwritten,Russian,,-74.00714,40.71455
1565,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 11 March 1920",not_stated,"Binder XLII, page 20",11 March 1920,exact,Sergey Sergeevich Prokofiev,not_stated,340 West 57th Street,New York,,"340 West 57th Street, New York",Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-73.98504098,40.76761183
1569,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 15 March 1920",not_stated,"Binder XLII, page 28",15 March 1920,exact,Sergey Sergeevich Prokofiev,not_stated,340 West 57th Street,New York,,"340 West 57th Street, New York",Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-73.98504098,40.76761183
1571,"Sergey Sergeevich Prokofiev to Nina Pavlovna Koshetz, 08 April 1920",not_stated,"Binder XLII, page 2",08 April 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,,New York,Nina Pavlovna Koshetz,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,"According to Lina Prokofiev's note: Recipient's address is 'Tiflis, Russia'.",-74.00714,40.71455
1572,"Sergey Sergeevich Prokofiev to Nina Pavlovna Koshetz, 08 April 1920",not_stated,"Binder XLII, page 5",08 April 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,,New York,Nina Pavlovna Koshetz,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,typed,Russian,Typed transcript of XLII/ 3.,-74.00714,40.71455
1575,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 29 May 1920",not_stated,"Binder XLII, page 32",29 May 1920,exact,Sergey Sergeevich Prokofiev,not_stated,Upper Bedford Place,London,,"Upper Bedford Place, London",Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-0.1242604121,51.52020336
1577,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 08 June 1920",not_stated,"Binder XLII, page 38",08 June 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,London,,London,Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-0.1272099998,51.50642
1579,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 06 July 1920",not_stated,"Binder XLII, page 41",06 July 1920,exact,Sergey Sergeevich Prokofiev,not_stated,12 Quai de la Tour,Mantes-sur-Seine,France,"12 Quai de la Tour, Mantes-sur-Seine",Fatma Samoilenko,not_stated,59 Avenue Marceau,Paris,,"59 Avenue Marceau, Paris",photocopy,postcard,handwritten,Russian,,1.7131095,48.99889009
1580,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 12 September 1920",not_stated,"Binder XLII, page 43",12 September 1920,exact,Sergey Sergeevich Prokofiev,not_stated,12 Quai de la Tour,Mantes-sur-Seine,France,"12 Quai de la Tour, Mantes-sur-Seine",Fatma Samoilenko,not_stated,75 Avenue des Champs-Élysées,Paris,,"75 Avenue des Champs-Élysées, Paris",photocopy,postcard,handwritten,Russian,,1.7131095,48.99889009
1581,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 21 September 1920",not_stated,"Binder XLII, page 45",21 September 1920,exact,Sergey Sergeevich Prokofiev,not_stated,12 Quai de la Tour,Mantes-sur-Seine,France,Mantes-sur-Seine,Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,1.7131095,48.99889009
